City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
5924351,Clyde River,90,CA,1593362274,77,70.47,-68.59,32.0,9.17
5848280,Kapaa,90,US,1593361470,94,22.08,-159.32,73.4,7.96
1218420,Seydi,8,TM,1593362195,17,39.48,62.91,77.38,11.72
3995647,Moctezuma,1,MX,1593362195,37,29.8,-109.67,86.05,8.14
3874787,Punta Arenas,0,CL,1593362048,84,-53.15,-70.92,32.0,9.17
2123814,Leningradskiy,96,RU,1593361705,98,69.38,178.42,29.01,4.74
5122534,Jamestown,75,US,1593362014,64,42.1,-79.24,75.0,11.41
2163355,Hobart,40,AU,1593362275,87,-42.88,147.33,43.0,4.7
4020109,Atuona,52,PF,1593362276,78,-9.8,-139.03,79.88,14.36
5870133,Nome,90,US,1593361454,87,64.5,-165.41,44.6,3.36
1634614,Nabire,100,ID,1593362196,90,-3.37,135.48,75.42,3.71
964432,Port Alfred,13,ZA,1593362276,71,-33.59,26.89,61.0,8.01
3641351,El Tigre,26,VE,1593362196,47,8.89,-64.25,89.85,12.15
6170031,Tuktoyaktuk,75,CA,1593361700,93,69.45,-133.04,39.2,4.7
4030556,Rikitea,8,PF,1593362277,66,-23.12,-134.97,67.62,20.27
6201424,Mataura,99,NZ,1593362277,83,-46.19,168.86,39.0,3.0
2075265,Busselton,81,AU,1593362277,54,-33.65,115.33,55.99,26.24
779622,Havøysund,75,NO,1593362197,87,71.0,24.66,44.6,10.29
4036284,Alofi,62,NU,1593361742,94,-19.06,-169.92,73.4,5.82
3416888,Grindavik,90,IS,1593362211,100,63.84,-22.43,53.6,12.75
5880054,Barrow,1,US,1593362278,75,71.29,-156.79,46.4,8.05
3354071,Oranjemund,0,NA,1593361730,69,-28.55,16.43,58.86,21.03
3366880,Hermanus,40,ZA,1593362278,74,-34.42,19.23,59.0,1.99
1015776,Bredasdorp,33,ZA,1593361712,72,-34.53,20.04,59.0,11.41
3652764,Puerto Ayora,75,EC,1593362209,73,-0.74,-90.35,75.2,11.41
4845585,Westport,20,US,1593361986,83,41.14,-73.36,89.01,5.82
3833367,Ushuaia,75,AR,1593362278,74,-54.8,-68.3,37.4,16.11
4946620,Palmer,75,US,1593362198,61,42.16,-72.33,84.0,3.36
2394819,Cotonou,20,BJ,1593362198,83,6.37,2.42,80.6,11.41
64814,Bandarbeyla,0,SO,1593362198,74,9.49,50.81,80.58,31.79
3355672,Lüderitz,0,NA,1593361682,50,-26.65,15.16,65.61,23.76
3466704,Castro,100,BR,1593362279,83,-24.79,-50.01,55.11,6.02
863061,Usinsk,100,RU,1593361679,85,65.99,57.53,43.93,8.72
2181625,Te Anau,68,NZ,1593362199,83,-45.42,167.72,39.87,1.36
1649150,Bengkulu,33,ID,1593362279,87,-3.8,102.27,77.47,5.77
6690296,Saint-Joseph,33,RE,1593362199,83,-21.37,55.62,69.8,4.7
2027042,Batagay-Alyta,21,RU,1593362199,78,67.8,130.41,57.56,3.78
2063036,Port Lincoln,0,AU,1593361694,56,-34.73,135.87,52.54,10.83
5106841,Albany,90,US,1593362280,88,42.6,-73.97,75.0,6.93
3868633,Vallenar,100,CL,1593361702,32,-28.57,-70.76,67.98,3.91
3443061,Chui,19,UY,1593362280,60,-33.7,-53.46,54.77,5.1
2312888,Mbanza-Ngungu,0,CD,1593362200,47,-5.25,14.87,77.99,4.07
3836277,Santa Fe,83,AR,1593362200,55,-31.63,-60.7,62.01,5.01
1244926,Hambantota,75,LK,1593361680,88,6.12,81.12,82.4,8.05
3369157,Cape Town,75,ZA,1593362184,71,-33.93,18.42,57.99,5.82
3671308,Puerto Triunfo,97,CO,1593362200,62,5.87,-74.64,88.05,0.72
1485275,Zelënyy Bor,40,RU,1593362201,87,53.67,91.67,60.8,2.24
3860443,Comodoro Rivadavia,40,AR,1593361721,80,-45.87,-67.5,39.2,6.24
935215,Saint-Philippe,34,RE,1593361713,83,-21.36,55.77,69.8,4.7
3091407,Mosina,40,PL,1593362201,65,52.25,16.85,80.01,10.29
934479,Grand Gaube,12,MU,1593361693,75,-20.01,57.66,73.99,5.99
286621,Salalah,75,OM,1593361699,84,17.02,54.09,86.0,12.75
889191,Karoi,1,ZW,1593362201,37,-16.81,29.69,62.89,5.06
5855927,Hilo,90,US,1593361682,73,19.73,-155.09,71.6,6.93
3471451,Arraial do Cabo,40,BR,1593362282,83,-22.97,-42.03,73.4,14.99
3466165,Cidreira,0,BR,1593362282,55,-30.18,-50.21,59.14,4.32
3838859,Río Gallegos,20,AR,1593362202,92,-51.62,-69.22,23.0,8.05
1258406,Rāpar,100,IN,1593362202,66,23.57,70.63,90.07,19.69
2025256,Chumikan,74,RU,1593361685,90,54.72,135.31,43.43,1.45
1106677,Bambous Virieux,40,MU,1593362283,83,-20.34,57.76,73.99,8.05
2396518,Port-Gentil,40,GA,1593361727,83,-0.72,8.78,77.0,14.99
2270385,Camacha,40,PT,1593361705,69,33.08,-16.33,75.2,17.22
2516507,Huéscar,5,ES,1593362203,11,37.81,-2.54,91.0,5.99
2139259,Ouégoa,19,NC,1593362203,75,-20.35,164.43,67.89,8.3
6185377,Yellowknife,75,CA,1593361684,51,62.46,-114.35,63.0,10.29
6148373,Sioux Lookout,40,CA,1593361735,51,50.1,-91.92,80.6,10.29
2194098,Ahipara,27,NZ,1593362283,75,-35.17,173.17,56.16,15.01
4031574,Provideniya,98,RU,1593361689,81,64.38,-173.3,39.18,16.04
350203,Rosetta,40,EG,1593361691,74,31.4,30.42,78.8,16.11
1807119,Huangzhai,90,CN,1593362203,77,38.08,112.66,69.8,4.47
1242110,Kalmunai,97,LK,1593362204,76,7.42,81.82,84.29,3.67
4033356,Tiarei,20,PF,1593362204,83,-17.53,-149.33,69.8,2.24
1735106,George Town,40,MY,1593362284,74,5.41,100.34,86.0,10.29
3625929,Tucupita,55,VE,1593362204,69,9.06,-62.05,86.05,7.07
2112802,Hasaki,75,JP,1593362213,100,35.73,140.83,68.0,3.36
2206939,Bluff,82,NZ,1593362284,83,-46.6,168.33,39.0,3.0
2248409,Mékhé,20,SN,1593362204,66,15.11,-16.62,98.6,16.11
1502073,Krasnosel'kup,93,RU,1593362204,88,65.7,82.47,62.4,8.77
141736,Bam,65,IR,1593362205,18,29.11,58.36,93.29,6.62
1528796,At-Bashi,49,KG,1593362205,57,41.17,75.81,45.07,7.16
3468317,Caetité,30,BR,1593362205,48,-14.07,-42.48,76.98,8.86
1651810,Airai,84,TL,1593361685,100,-8.93,125.41,56.97,3.24
3372745,Rabo de Peixe,40,PT,1593362205,83,37.8,-25.58,71.6,9.17
2155415,New Norfolk,46,AU,1593362200,91,-42.78,147.06,42.01,2.75
933995,Souillac,40,MU,1593362286,83,-20.52,57.52,71.6,8.05
5992154,Kindersley,90,CA,1593361966,100,51.47,-109.17,53.6,16.11
2980080,Saint-François,75,FR,1593362206,60,46.42,3.91,69.8,14.99
1738050,Marabu,20,MY,1593361721,94,4.41,114.01,78.8,1.12
2015852,Svetlaya,94,RU,1593361709,85,46.54,138.33,52.77,9.6
